#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
181,"Internacional Falcón, Tamps.",Falcón,Río Bravo,Tamaulipas,95.77,4862.21,91.805,3264.813,84.29,1305.707,40
180,"Francisco I. Madero, Chih.",Las Vírgenes,Río Bravo,Chihuahua,1242.56,477.622,1239.3,355.286,1239.25,353.534,100
179,"Miguel Alemán, Zac.",Excamé,Lerma-Santiago-Pacífico,Zacatecas,1704.5,70.92,1703.48,64.98,1700.23,59.664,92
178,"El Estribón, Jal.",El Estribón,Lerma-Santiago-Pacífico,Jalisco,1881.41,7.74,1880,6.378,1876.26,3.806,60
177,"El Salto, Jal.",El Salto,Lerma-Santiago-Pacífico,Jalisco,1812.5,112,1810.16,85,1809.99,82.657,97
176,"El Rejón, Chih.",El Rejón,Río Bravo,Chihuahua,1478.32,7.755,1477,6.528,1476.55,6.149,94
175,"Estudiante Ramiro Caballero Dorantes, Tamps.",Las Ánimas,Golfo Norte,Tamaulipas,52.55,654.37,51.7,563.443,50.41,452.701,80
174,"El Potosino, S.L.P.",El Potosino,Cuencas Centrales del Norte,San Luis Potosí,2000.85,5.199,1996.8,3.293,1996.48,3.163,96
173,"Ing. Benjamín Ortega Cantero, Dgo.",Agua Puerca,Cuencas Centrales del Norte,Durango,1434.1,56.06,1430.2,30.764,1426.56,21.787,71
172,"Álvaro Obregón, Son.",El Oviachic,Noroeste,Sonora,112.2,4409.36,105.5,3023.14,96.88,1765.84,58
171,"Doctor Belisario Domínguez, Chis.",Angostura,Frontera Sur,Chiapas,539.5,19736.43,533,15549.16,530.25,13915.3,89
170,"Internacional La Amistad, Coah.",La Amistad,Río Bravo,Coahuila de Zaragoza,349.08,7000,340.462,4040.325,329.765,1872.05,46
169,"Aristeo Mercado, Mich.",Wilson,Lerma-Santiago-Pacífico,Michoacán,1993.8,28.981,1993.5,25.344,1997.16,9.39,37
168,"Ing. Fernando Hiriart Balderrama, Hgo.",Zimapán,Golfo Norte,Hidalgo,1563,1460.11,1560,1390.11,1555.56,1286.1,93
167,"Zicuirán, Mich.",La Peña,Balsas,Michoacán,301.44,47.485,299,36.294,297.66,43.168,119
166,"Villa Victoria, Méx.",Villa Victoria,Balsas,México,2607.5,252.03,2605.5,185.723,2603.47,129.932,70
165,"Valerio Trujano, Gro.",Tepecoacuilco,Balsas,Guerrero,842.78,51.65,840,31.014,837.6,18.789,61
164,"La Venta, Qro.",La Venta,Golfo Norte,Querétaro,1907.68,3.777,1906.68,2.479,1905.97,1.6,65
163,"José María Morelos, Zac.",La Villita,Lerma-Santiago-Pacífico,Zacatecas,1831.19,11.165,1829,9.018,1828.6,9.64,107
162,"José María Morelos y Pavón, Mich.",La Villita,Balsas,Michoacán,56.73,714.593,51.2,531.414,47.54,435,82
161,"Villa Hidalgo, Dgo.",Villa Hidalgo,Cuencas Centrales del Norte,Durango,1729.55,39.555,1726.23,23.08,1718.12,10.712,46
160,"Vicente Guerrero, Tamps.",Las Adjuntas,Golfo Norte,Tamaulipas,144.04,5498.23,140.44,3910.69,140.76,4037.95,103
159,"Vicente Guerrero, Gro.",Palos Altos,Balsas,Guerrero,430.3,300,425,249.49,420.99,203.9,82
158,"Pico del Águila, Chih.",Pico del Águila,Río Bravo,Chihuahua,1619,62.02,1616.9,51.106,1612.56,30.512,60
157,"Necaxa, Pue.",Necaxa,Golfo Centro,Puebla,1344,43,1338,29.055,1330.58,16.23,56
156,"El Niagara, Ags.",El Niagara,Lerma-Santiago-Pacífico,Aguascalientes,1832.4,31.695,1828.4,16.188,1828.17,15.526,96
155,"Nexapa, Pue.",Nexapa,Golfo Centro,Puebla,1363,16,1360,12.5,1355.8,7.306,58
154,"La Soledad, Pue.",Apulco o Mazatepec,Golfo Centro,Puebla,805,14.978,804.5,13.895,800.86,4.122,30
153,"Sanalona, Sin.",Sanalona,Pacífico Norte,Sinaloa,162.17,987.522,156.2,687.988,148.6,390.798,57
152,"San José, S.L.P.",San José,Cuencas Centrales del Norte,San Luis Potosí,1955.14,5.14,1953.78,5.14,1953.86,5.182,101
151,"Los Reyes, Hgo.",Omiltepec,Golfo Centro,Hidalgo,2167,27,2165,26.05,2162.24,17.156,66
150,"Los Olivos, Mich.",Los Olivos,Balsas,Michoacán,421,16.271,418,10.262,416.33,18.748,183
149,"Manuel Felgueres, Zac.",Lobatos,Lerma-Santiago-Pacífico,Zacatecas,2080.18,9.435,2077.05,6.905,2076.95,7.364,107
148,"Los Naranjos, Dgo.",Naranjos,Cuencas Centrales del Norte,Durango,1661.09,27.39,1658.4,20.928,1658.18,25.36,121
147,"Ing. Luis L. León, Chih.",El Granero,Río Bravo,Chihuahua,1050.5,832.409,1034.8,292.465,1034.85,293.613,100
146,"La Llave, Qro.",Divino Redentor,Golfo Norte,Querétaro,1891.1,14.414,1890,9.312,1889.29,6.132,66
145,"La Laguna, Hgo.",Tejocotal,Golfo Centro,Hidalgo,2184,45,2183,43.53,2180.68,27.825,64
144,"Las Lajas, Chih.",Las Lajas,Río Bravo,Chihuahua,1561.62,106.547,1558.7,83.266,1556.71,69.355,83
143,"La Fragua, Coah.",La Fragua,Río Bravo,Coahuila de Zaragoza,304.68,85.38,300.3,47.295,300.27,47.05,99
142,"Laguna de Yuriria, Gto.",B. de Tavamatacheo,Lerma-Santiago-Pacífico,Guanajuato,1731.4,325.195,1730.92,278.789,1729.53,155.311,56
141,"Laguna de Tuxpan, Gro.",Laguna de Tuxpan,Balsas,Guerrero,743.35,19.503,742.84,17.647,742.33,15.79,89
140,"Laguna del Fresno, Mich.",Laguna del Fresno,Lerma-Santiago-Pacífico,Michoacán,2057,13.132,2055.98,10.299,2055.52,8.692,84
139,"Canseco, Ver.",Laguna de Catemaco,Golfo Centro,Veracruz de Ignacio de la Llave,333.5,252.7,332.7,193.02,332.64,188.6,98
138,"Luis Donaldo Colosio, Sin.",Huites,Pacífico Norte,Sinaloa,290,4568,270,2908.1,252.4,1850.03,64
137,"Endhó, Hgo.",Endó,Aguas del Valle de México,Hidalgo,2020,208,2018,182.9,2015.46,150.243,82
136,"Emilio López Zamora, B.C.",Ensenada,Península de Baja California,Baja California,25.26,6.342,19.89,2.732,11.63,0.365,13
135,"Gonzalo N. Santos, S.L.P.",El Peaje,Cuencas Centrales del Norte,San Luis Potosí,2047.87,8.995,2044.85,6.685,2040.37,4.016,60
134,"Cañada del Lobo, S.L.P.",,Cuencas Centrales del Norte,San Luis Potosí,1962.15,1.834,1958.8,1.01,1956.19,0.544,54
133,"El Cazadero, Zac.",El Cazadero,Cuencas Centrales del Norte,Zacatecas,1919.94,44.68,1916,22.178,1915.88,26.323,119
132,"El Gallo, Gro.",El Gallo,Balsas,Guerrero,368,545.966,362.78,400.039,361.47,368.4,92
131,"Ing. Elías González Chávez, Jal.",Puente Calderón,Lerma-Santiago-Pacífico,Jalisco,1620,100,1618,80,1612.05,34.97,44
130,"Ing. Carlos Ramírez Ulloa, Gro.",El Caracol,Balsas,Guerrero,523.6,1202.398,521,1084.85,518.48,1349.37,124
129,"Lic. Eustaquio Buelna, Sin.",Guamuchil,Pacífico Norte,Sinaloa,68.85,264.95,63.54,80.08,63.31,75.08,94
128,"Danxhó, Méx.",Danxho,Aguas del Valle de México,México,2455.13,32.67,2454,31.05,2453.61,29.241,94
127,"De Gonzalo, Mich.",De Gonzalo,Lerma-Santiago-Pacífico,Michoacán,1534.9,10,1533.88,8.837,1534.01,5.537,63
126,"El Bosque, Mich.",El Bosque,Balsas,Michoacán,1743,250.5,1741.4,202.4,1731.29,106.12,52
125,"El Carrizo, B.C.",El Carrizo,Península de Baja California,Baja California,286.22,44.585,284.7,40.866,278.32,27.104,66
124,"José López Portillo, N.L.",Cerro Prieto,Río Bravo,Nuevo León,285.5,393,282.52,300,284.29,353.667,118
123,"Cajón de Peña, Jal.",Tomatlán o El Tule,Lerma-Santiago-Pacífico,Jalisco,139.2,707.69,130.37,466.69,132.56,523.123,112
122,"Copándaro, Mich.",Copándaro De Corrales,Lerma-Santiago-Pacífico,Michoacán,1989.21,9.717,1998.5,6.5,1997.77,4.448,68
121,"Coíntzio, Mich.",Cointzio,Lerma-Santiago-Pacífico,Michoacán,2001.32,79.233,1999.47,68.52,1993.04,81.424,119
120,"El Centenario, Qro.",El Centenario,Golfo Norte,Querétaro,1881.99,14.178,1881.58,9.882,1880.75,6.732,68
119,"El Centenario, Coah.",El Centenario,Río Bravo,Coahuila de Zaragoza,336.38,25.52,336.15,24.589,334.94,19.244,78
118,"Constitución de 1917, Qro.",Hidalgo,Golfo Norte,Querétaro,1928.45,75.3,1927.65,69.862,1924.01,44.23,63
117,"La Concepción, Méx.",La Concepción,Aguas del Valle de México,México,2352.54,13.7,2352.1,12.111,2350.68,10.652,88
116,"Ing. Andrew Weiss, Chih.",La Colina,Río Bravo,Chihuahua,1249.85,26.97,1249.1,23.67,1249.28,24.436,103
115,"Leonardo Rodríguez Alcaine, Nay.",El Cajón,Lerma-Santiago-Pacífico,Nayarit,394,2860.2,391,2551.7,381.35,1925.16,75
114,"Paso de Piedras, Ver.",Chicayán,Golfo Norte,Veracruz de Ignacio de la Llave,28.28,570,23.07,220,23.32,233.083,106
113,"Chihuahua, Chih.",Chihuahua,Río Bravo,Chihuahua,1544.28,35.631,1540.82,23.383,1539.07,18.499,79
112,"El Rodeo, Mor.",El Rodeo,Balsas,Morelos,1166.5,33.137,1164.2,26.984,1156.36,9.829,36
111,"Revolución Mexicana, Gro.",El Guineo,Pacífico Sur,Guerrero,107.59,260,94.4,126.694,94.34,126.221,100
110,"La Red, Jal.",La Red,Lerma-Santiago-Pacífico,Jalisco,1794.7,18.3,1792.5,14.25,1787.87,7.004,49
109,"Vicente Aguirre, Hgo.",Las Golondrinas,Aguas del Valle de México,Hidalgo,1858.5,21.8,1858.15,20.8,1855.58,13.092,63
108,"Pucuato, Mich.",Pucuato,Balsas,Michoacán,2500,11.534,2499,9.485,2480.45,9.488,100
107,"Derivadora Pabellón, Ags.",Der. Potrerillos,Lerma-Santiago-Pacífico,Aguascalientes,2093,2.1,2092.6,2.038,2086.48,1.228,60
106,"Salinillas, N.L.",Salinillas,Río Bravo,Nuevo León,232,19.011,232,19.011,230.81,13.566,71
105,"La Purísima, Gto.",La Purísima,Lerma-Santiago-Pacífico,Guanajuato,1860.79,181.926,1852.07,98.23,1845.27,61.163,62
104,"Requena, Hgo.",Requena,Aguas del Valle de México,Hidalgo,2110.5,60.53,2108.96,52.424,2107.28,41.192,79
103,"Javier Rojo Gómez, Hgo.",La Peña,Aguas del Valle de México,Hidalgo,1975.7,52.8,1974,46,1973.8,45.32,99
102,"Ing. Guillermo Lugo Sanabria, Jal.",La Pólvora,Lerma-Santiago-Pacífico,Jalisco,1665,55,1663.46,51.675,1653.06,28.564,55
101,"Peñuelitas, Gto.",Peñuelitas,Lerma-Santiago-Pacífico,Guanajuato,1907.29,30.169,1904.7,17.46,1903.62,19.618,112
100,"Ñadó, Méx.",Ñado,Aguas del Valle de México,México,2475.5,18.5,2474,16.8,2471.8,14.05,84
99,"Ing. Rodolfo Félix Valdés, Son.",El Molinito,Noroeste,Sonora,293.4,233.92,289.36,130.04,277.85,10.858,8
98,"Presidente Benito Juárez, Oax.",El Marqués,Pacífico Sur,Oaxaca,139.85,1726.629,124.25,720.317,122.17,843.83,117
97,"Jocoque, Ags.",Der. Jocoqui,Lerma-Santiago-Pacífico,Aguascalientes,1943.4,11.4,1942.45,10.975,1942.08,10.706,98
96,"Adolfo López Mateos, Sin.",El Humaya o El Varejonal,Pacífico Norte,Sinaloa,183.48,4034.52,176,3086.61,155.92,1232.6,40
95,"Abraham González, Chih.",Guadalupe,Noroeste,Chihuahua,2051.3,102.891,2047.8,79.354,2047.69,84.747,107
94,"Agostitlán, Mich.",Mata De Pinos,Balsas,Michoacán,2377.84,18.754,2376.6,15.675,2481.38,14.962,95
93,"Aguamilpa Solidaridad, Nay.",Aguamilpa,Lerma-Santiago-Pacífico,Nayarit,232,6950,220,5540,208.66,4391.13,79
92,"Andrés Figueroa, Gro.",Las Garzas,Balsas,Guerrero,382.61,123.1,377,102.5,375.14,94.32,92
91,"Achimec, Jal.",Vaqueros,Lerma-Santiago-Pacífico,Jalisco,1844.27,12.212,1841.5,7.364,1838.31,4.818,65
90,"Abelardo L. Rodríguez., Ags.",Abelardo L. Rodríguez,Lerma-Santiago-Pacífico,Aguascalientes,1890,18.84,1888.9,15.99,1885.89,9.856,62
89,"Marte R. Gómez, Tamps.",El Azucar,Río Bravo,Tamaulipas,83,2208.66,76.3,781.7,76.43,801.227,102
88,"Melchor Ocampo, Mich.",El Rosario,Lerma-Santiago-Pacífico,Michoacán,1714.41,249.843,1711.9,194.454,1712.21,208.063,107
